frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.ack_raw,tcp.seq_raw,tcp.flags.fin,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,class,label
0.000005000,145.210914000,70,192.168.60.20,192.168.110.100,6,64,1883,35987,0x0018,0.000005000,4,102144,2230426260,2857018352,0,1,1,0,0,0,32,1253,0x2bf4,0,0,0,0,0,0,0,0,0,0,0,0x40,0,2,0,0,0,0,0,0,0,Benign,0
0.000008000,145.210922000,78,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,0.000051000,12,58461,413034876,2166413456,0,1,1,0,0,0,32,501,0x2bfe,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000004000,145.210926000,78,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000004000,12,148880,2166413468,413034876,0,1,1,0,0,0,32,3714,0x2bfe,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000004000,145.210943000,74,192.168.60.20,192.168.110.100,6,64,1883,35987,0x0018,0.000004000,8,102144,2230426260,2857018356,0,1,1,0,0,0,32,1253,0x2bf8,0,0,0,0,0,0,0,0,0,0,0,0x40,0,2,0,0,0,0,0,0,0,Benign,0
0.000005000,145.210969000,70,192.168.60.20,192.168.110.100,6,64,1883,35987,0x0018,0.000005000,4,102144,2230426260,2857018364,0,1,1,0,0,0,32,1253,0x2bf4,0,0,0,0,0,0,0,0,0,0,0,0x40,0,2,0,0,0,0,0,0,0,Benign,0
0.000007000,145.210976000,78,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,0.000050000,12,58473,413034888,2166413468,0,1,1,0,0,0,32,501,0x2bfe,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000005000,145.210981000,78,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000005000,12,148892,2166413480,413034888,0,1,1,0,0,0,32,3714,0x2bfe,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000004000,145.210997000,70,192.168.60.20,192.168.110.100,6,64,1883,35987,0x0018,0.000004000,4,102144,2230426260,2857018368,0,1,1,0,0,0,32,1253,0x2bf4,0,0,0,0,0,0,0,0,0,0,0,0x40,0,2,0,0,0,0,0,0,0,Benign,0
0.000005000,145.211024000,70,192.168.60.20,192.168.110.100,6,64,1883,35987,0x0018,0.000005000,4,102144,2230426260,2857018372,0,1,1,0,0,0,32,1253,0x2bf4,0,0,0,0,0,0,0,0,0,0,0,0x40,0,2,0,0,0,0,0,0,0,Benign,0
0.000007000,145.211031000,78,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,0.000050000,12,58485,413034900,2166413480,0,1,1,0,0,0,32,501,0x2bfe,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000004000,145.211035000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000004000,4,148904,2166413492,413034900,0,1,1,0,0,0,32,3714,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000020000,145.211067000,70,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,0.000032000,4,58489,413034904,2166413492,0,1,1,0,0,0,32,501,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000192000,145.211259000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000192000,4,148908,2166413496,413034904,0,1,1,0,0,0,32,3714,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000021000,145.211280000,70,192.168.60.20,192.168.110.100,6,64,1883,35987,0x0018,0.000233000,4,102144,2230426260,2857018376,0,1,1,0,0,0,32,1253,0x2bf4,0,0,0,0,0,0,0,0,0,0,0,0x40,0,2,0,0,0,0,0,0,0,Benign,0
0.000337000,145.211617000,134,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000358000,68,148908,2166413496,413034908,0,1,1,0,0,0,32,3714,0x2c36,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
0.000009000,145.211871000,134,192.168.60.20,192.168.110.100,6,64,1883,35987,0x0018,0.000009000,68,102144,2230426260,2857018380,0,1,1,0,0,0,32,1253,0x2c34,0,0,0,0,0,0,0,0,0,0,0,0x40,0,2,0,0,0,0,0,0,0,Benign,0
0.000005000,145.211891000,198,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000005000,132,148908,2166413496,413034976,0,1,1,0,0,0,32,3714,0x2c76,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
0.000044000,145.211974000,134,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,0.000083000,68,58693,413035108,2166413496,0,1,1,0,0,0,32,501,0x2c36,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Benign,0
0.000039000,145.212013000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000039000,4,148976,2166413564,413035108,0,1,1,0,0,0,32,3714,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
0.000032000,145.252551000,130,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000032000,64,148976,2166413564,413035112,0,1,1,0,0,0,32,3714,0x2c32,0,0,0,0,0,0,0,0,0,0,0,0x70,0,2,0,0,0,0,0,0,0,Benign,0
0.958414000,146.211100000,1443,192.168.110.101,192.168.60.20,6,64,39379,1883,0x0018,1.001046000,1377,9,1895725041,2647584156,0,1,1,0,0,0,32,502,0x3152,0,0,0,0,0,0,0,0,0,0,0,0x30,0,25,33:36:2e:35:38:34:34,0,0,0,Body Temperature,16,0,Benign,0
0.000932000,146.212087000,1953,192.168.110.103,192.168.60.20,6,64,46207,1883,0x0018,1.001944000,1887,9,4237333654,617986011,0,1,1,0,0,0,32,502,0x3352,0,0,0,0,0,0,0,0,0,0,0,0x30,0,35,38:36:2e:33:33:31:32,0,0,0,Glucometer (Glucose Level),26,0,Benign,0
0.000028000,146.212152000,1341,192.168.110.105,192.168.60.20,6,64,36969,1883,0x0018,1.002070000,1275,9,181356056,674446215,0,1,1,0,0,0,32,502,0x30f0,0,0,0,0,0,0,0,0,0,0,0,0x30,0,23,33:38:31:2e:31:31:38,0,0,0,IV Fluid Level,14,0,Benign,0
0.000064000,146.212229000,882,192.168.110.102,192.168.60.20,6,64,45979,1883,0x0018,0.959543000,816,58761,413035176,2166413564,0,1,1,0,0,0,32,501,0x2f22,0,0,0,0,0,0,0,0,0,0,0,0x34,0,14,31:2e:33:37:36:33:32,0,2,0,ECG,3,0,Benign,0
0.000041000,146.212270000,1443,192.168.110.104,192.168.60.20,6,64,35485,1883,0x0018,5.002269000,1377,9,4217461893,3453471329,0,1,1,0,0,0,32,502,0x3155,0,0,0,0,0,0,0,0,0,0,0,0x30,0,25,37:39:2e:32:36:35:31,0,0,0,HRM (Heart Rate),16,0,Benign,0
0.000109000,146.212391000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000162000,4,149792,2166414380,413035176,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000099000,146.212644000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000099000,4,149792,2166414380,413035180,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
0.000069000,146.212719000,70,192.168.60.20,192.168.110.102,6,64,1883,45979,0x0018,0.000069000,4,149792,2166414380,413035184,0,1,1,0,0,0,32,3736,0x2bf6,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Benign,0
